EEL5105 		- "A educação é a mais poderosa arma pela qual se pode mudar o mundo" - Nelson Mandela
EEL7031			- "Melhor jeito que achei para me conhecer foi fazendo o contrário" - Manoel de Barros
MicroC			- "Com organização e tempo, acha-se o segredo de fazer tudo e bem feito." Pitágoras
PyThings		- "O que nos salva é dar um passo e outro ainda" - Antoine de Saint-Exupéry
EraUmaVezUmaCasa	- "O mal da grandeza é quando ela separa a consciência do poder" - William Shakespeare
HtmlAndEtc		- "Logo que, numa inovação, nos mostram alguma coisa de antigo, ficamos sossegados" - Friedrich Nietzsche
Campo-Logico-Minado	- "Quem pensa pouco, erra muito" - Leonardo Da Vinci
GSimas.github.io	- "O que me preocupa não é o barulho dos maus, mas sim, o silêncio dos bons" - Albert Einstein
Game-C			- "A vida é muito importante para ser levada a sério" - Oscar Wilde
FlashAndEtc		- "A arte é a auto-expressão lutando para ser absoluta" - Fernando Pessoa
EEL7045			- "Nós somos o que fazemos repetidamente. A excelência, portanto, não é um ato, mas um hábito" - Aristóteles
EEL7801			- “The first thing you have to look at is why you want to design something. Without that you cannot have success. Then you work out the how and then the what...” - Camille Kokozaki
